#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DG;DRUG;EXPERIMENT;TUMOR SIZE;BW
15;3;2800;.;.;.;.;.;1;100;3;2;2;209.484;27.7
15;4;2700;2;1;.;.;.;1;100;3;2;2;252.05;26.6
15;7;2600;1;1;.;.;.;1;100;3;2;2;198.45;25.8
15;9;2600;1;1;.;.;.;1;100;3;2;2;105.056;25.9
15;10.10486111;.;.;.;2180;1;.;1;100;3;2;2;105.056;25.9
15;11;2400;2;1;.;.;.;1;100;3;2;2;81.648;24.3
15;14;2300;1;1;.;.;.;1;100;3;2;2;38.4;23.1
15;16;2100;.;.;.;.;.;1;100;3;2;2;27.5625;21.1
15;16.04166667;.;.;.;2280;1;.;1;100;3;2;2;27.5625;21.1
22;3;2600;.;.;.;.;.;1;100;3;2;2;299.6715;25.7
22;4;2500;2;1;.;.;.;1;100;3;2;2;321.048;24.7
22;7;2400;1;1;.;.;.;1;100;3;2;2;129.96;24
22;9;2400;1;1;.;.;.;1;100;3;2;2;68.479;24.4
22;10.02083333;.;.;.;3190;1;.;1;100;3;2;2;68.479;24.4
22;11;2300;2;1;.;.;.;1;100;3;2;2;50.8475;22.8
22;14;2200;1;1;.;.;.;1;100;3;2;2;19.456;22.4
22;16;2200;.;.;.;.;.;1;100;3;2;2;0.05;21.6
22;16.41805556;.;.;.;2140;1;.;1;100;3;2;2;0.05;21.6
24;3;2800;.;.;.;.;.;1;100;3;2;2;117;27.6
24;4;2700;2;1;.;.;.;1;100;3;2;2;152.626;26.7
24;7;2600;1;1;.;.;.;1;100;3;2;2;76.7295;26.1
24;9;2700;1;1;.;.;.;1;100;3;2;2;64.512;26.9
24;10.20694444;.;.;.;1870;1;.;1;100;3;2;2;64.512;26.9
24;11;2600;2;1;.;.;.;1;100;3;2;2;34.656;26
24;14;2500;1;1;.;.;.;1;100;3;2;2;10;25.4
24;15.99444444;.;.;.;412;1;.;1;100;3;2;2;10;25.2
24;16;2500;.;.;.;.;.;1;100;3;2;2;0.05;25.2
25;3;2500;.;.;.;.;.;1;100;3;2;2;75.712;25
25;4;2400;2;1;.;.;.;1;100;3;2;2;92.512;24.3
25;7;2400;1;1;.;.;.;1;100;3;2;2;40.572;23.7
25;9;2400;1;1;.;.;.;1;100;3;2;2;33.212;24.1
25;9.991666667;.;.;.;87.6;1;.;1;100;3;2;2;33.212;24.1
25;11;2300;2;1;.;.;.;1;100;3;2;2;17.1;22.8
25;14;2500;1;1;.;.;.;1;100;3;2;2;10.625;24.6
25;16;2300;.;.;.;.;.;1;100;3;2;2;0.05;23.4
25;16.99305556;.;.;.;100;1;.;1;100;3;2;2;0.05;23.4
78;3;2300;.;.;.;.;.;1;100;3;2;2;199.1195;22.8
78;4;2200;2;1;.;.;.;1;100;3;2;2;293.327;21.9
78;7;2200;1;1;.;.;.;1;100;3;2;2;168.776;21.9
78;9;2200;1;1;.;.;.;1;100;3;2;2;98.696;21.7
78;11;2000;2;1;.;.;.;1;100;3;2;2;99.144;20.2
78;11;.;.;.;31.4;1;.;1;100;3;2;2;99.144;20.2
78;14;2000;1;1;.;.;.;1;100;3;2;2;46.225;20.1
78;16;1900;.;.;.;.;.;1;100;3;2;2;36;19.2
78;16.21041667;.;.;.;1510;1;.;1;100;3;2;2;36;19.2
124;3;2600;.;.;.;.;.;1;100;3;2;2;147.456;26
124;4;2500;2;1;.;.;.;1;100;3;2;2;240.318;24.8
124;7;2400;1;1;.;.;.;1;100;3;2;2;119.072;24.2
124;9;2500;1;1;.;.;.;1;100;3;2;2;70.227;25.2
124;10.01041667;.;.;.;2000;1;.;1;100;3;2;2;70.227;25.2
124;11;2400;2;1;.;.;.;1;100;3;2;2;50.336;23.6
124;14;2400;1;1;.;.;.;1;100;3;2;2;36.8;24
124;16;2500;.;.;.;.;.;1;100;3;2;2;32.49;25
124;16.02222222;.;.;.;2610;1;.;1;100;3;2;2;32.49;25
132;3;2500;.;.;.;.;.;1;100;3;2;2;135.8165;24.9
132;4;2500;2;1;.;.;.;1;100;3;2;2;161.172;24.9
132;7;2300;1;1;.;.;.;1;100;3;2;2;104.43;23.1
132;9;2200;1;1;.;.;.;1;100;3;2;2;48.6;21.9
132;10.41388889;.;.;.;1090;1;.;1;100;3;2;2;48.6;21.9
132;11;2100;2;1;.;.;.;1;100;3;2;2;40.344;20.9
132;14;2400;1;1;.;.;.;1;100;3;2;2;60.306;23.9
132;16;2400;.;.;.;.;.;1;100;3;2;2;150.3815;24
132;16.10277778;.;.;.;2390;1;.;1;100;3;2;2;150.3815;24
157;3;2600;.;.;.;.;.;1;100;3;2;2;129.6;26
157;4;2400;2;1;.;.;.;1;100;3;2;2;152.1;24.4
157;7;2400;1;1;.;.;.;1;100;3;2;2;66.27;23.8
157;9;2400;1;1;.;.;.;1;100;3;2;2;25.432;24
157;10.04444444;.;.;.;2900;1;.;1;100;3;2;2;25.432;24
157;11;2200;2;1;.;.;.;1;100;3;2;2;13.5;22.1
157;14;2400;1;1;.;.;.;1;100;3;2;2;6;23.5
157;16;2300;.;.;.;.;.;1;100;3;2;2;0.05;23
157;16.01111111;.;.;.;2450;1;.;1;100;3;2;2;0.05;23
41;3;600;.;.;.;.;.;1;25;2;2;2;178.5375;24.3
41;4;600;2;1;.;.;.;1;25;2;2;2;225;23.8
41;7;600;1;1;.;.;.;1;25;2;2;2;294.4;23.8
41;9;600;1;1;.;.;.;1;25;2;2;2;328.104;24.1
41;10.01041667;.;.;.;468;1;.;1;25;2;2;2;328.104;24.1
41;11;575;2;1;.;.;.;1;25;2;2;2;442.225;22.6
41;14;600;1;1;.;.;.;1;25;2;2;2;469.3;23.8
41;16;575;.;.;.;.;.;1;25;2;2;2;520;23.3
41;16.41527778;.;.;.;239;1;.;1;25;2;2;2;520;23.3
62;3;625;.;.;.;.;.;1;25;2;2;2;130.5375;25.1
62;4;625;2;1;.;.;.;1;25;2;2;2;225.4;25.2
62;7;625;1;1;.;.;.;1;25;2;2;2;242.55;25.3
62;9;625;1;1;.;.;.;1;25;2;2;2;264.6525;24.9
62;10.20625;.;.;.;272;1;.;1;25;2;2;2;264.6525;24.9
62;11;600;2;1;.;.;.;1;25;2;2;2;456.896;23.7
62;14;625;1;1;.;.;.;1;25;2;2;2;475.26;25
62;15.99444444;.;.;.;2.1;1;.;1;25;2;2;2;475.26;25.1
62;16;625;.;.;.;.;.;1;25;2;2;2;626.688;25.1
68;3;775;.;.;.;.;.;1;25;2;2;2;230.688;30.8
68;4;750;2;1;.;.;.;1;25;2;2;2;259.92;30
68;7;750;1;1;.;.;.;1;25;2;2;2;277.248;29.6
68;9;750;1;1;.;.;.;1;25;2;2;2;338.688;30.4
68;10.04027778;.;.;.;461;1;.;1;25;2;2;2;338.688;30.4
68;11;725;2;1;.;.;.;1;25;2;2;2;372.0875;28.8
68;14;775;1;1;.;.;.;1;25;2;2;2;379.3125;30.5
68;16;750;.;.;.;.;.;1;25;2;2;2;416.295;30.3
68;16.01041667;.;.;.;273;1;.;1;25;2;2;2;416.295;30.3
117;3;725;.;.;.;.;.;1;25;2;2;2;164.775;28.7
117;4;700;2;1;.;.;.;1;25;2;2;2;204.732;27.9
117;7;725;1;1;.;.;.;1;25;2;2;2;312.05;28.6
117;9;700;1;1;.;.;.;1;25;2;2;2;408.726;27.9
117;10.41388889;.;.;.;193;1;.;1;25;2;2;2;408.726;27.9
117;11;675;2;1;.;.;.;1;25;2;2;2;645.048;27.1
117;14;700;1;1;.;.;.;1;25;2;2;2;689.585;28.4
117;16;700;.;.;.;.;.;1;25;2;2;2;998.3505;28.3
117;16.02222222;.;.;.;437;1;.;1;25;2;2;2;998.3505;28.3
130;3;525;.;.;.;.;.;1;25;2;2;2;124.6535;21.4
130;4;525;2;1;.;.;.;1;25;2;2;2;159.3595;20.6
130;7;500;1;1;.;.;.;1;25;2;2;2;181.476;20.3
130;9;500;1;1;.;.;.;1;25;2;2;2;189.0375;20.2
130;10.99722222;.;.;.;9.98;1;.;1;25;2;2;2;189.0375;19.5
130;11;500;2;1;.;.;.;1;25;2;2;2;213.564;19.5
130;14;525;1;1;.;.;.;1;25;2;2;2;254.144;20.9
130;16;500;.;.;.;.;.;1;25;2;2;2;274.604;20.4
130;16.10208333;.;.;.;440;1;.;1;25;2;2;2;274.604;20.4
133;3;575;.;.;.;.;.;1;25;2;2;2;269.7695;23.4
133;4;575;2;1;.;.;.;1;25;2;2;2;325.494;22.6
133;7;550;1;1;.;.;.;1;25;2;2;2;414.304;21.8
133;9;575;1;1;.;.;.;1;25;2;2;2;414.304;22.8
133;10.10277778;.;.;.;514;1;.;1;25;2;2;2;414.304;22.8
133;11;525;2;1;.;.;.;1;25;2;2;2;445.28;21.3
133;14;575;1;1;.;.;.;1;25;2;2;2;590.646;22.8
133;16;575;.;.;.;.;.;1;25;2;2;2;609.854;23
133;16.04097222;.;.;.;420;1;.;1;25;2;2;2;609.854;23
149;3;575;.;.;.;.;.;1;25;2;2;2;85.176;23
149;4;550;2;1;.;.;.;1;25;2;2;2;146.202;22.1
149;7;575;1;1;.;.;.;1;25;2;2;2;188.538;22.9
149;9;575;1;1;.;.;.;1;25;2;2;2;202.005;23.4
149;9.992361111;.;.;.;3.96;1;.;1;25;2;2;2;202.005;23.4
149;11;550;2;1;.;.;.;1;25;2;2;2;254.016;22.2
149;14;600;1;1;.;.;.;1;25;2;2;2;393.7625;23.7
149;16;600;.;.;.;.;.;1;25;2;2;2;583.358;23.6
149;16.99444444;.;.;.;8.56;1;.;1;25;2;2;2;583.358;23.6
164;3;625;.;.;.;.;.;1;25;2;2;2;104.3625;24.9
164;4;625;2;1;.;.;.;1;25;2;2;2;150.282;24.8
164;7;600;1;1;.;.;.;1;25;2;2;2;159.528;24.2
164;9;625;1;1;.;.;.;1;25;2;2;2;164.152;24.6
164;10.02083333;.;.;.;327;1;.;1;25;2;2;2;164.152;24.6
164;11;600;2;1;.;.;.;1;25;2;2;2;164.152;23.5
164;14;600;1;1;.;.;.;1;25;2;2;2;169.0155;24.2
164;16;625;.;.;.;.;.;1;25;2;2;2;169.0155;24.5
164;16.2125;.;.;.;209;1;.;1;25;2;2;2;169.0155;24.5
4;3;187.5;.;.;.;.;.;1;6.25;1;2;2;126.514;30.1
4;4;181.25;2;1;.;.;.;1;6.25;1;2;2;130.235;29
4;7;181.25;1;1;.;.;.;1;6.25;1;2;2;181.3;29.1
4;9;181.25;1;1;.;.;.;1;6.25;1;2;2;186.517;29.3
4;10.20555556;.;.;.;83.9;1;.;1;6.25;1;2;2;186.517;29.3
4;11;168.75;2;1;.;.;.;1;6.25;1;2;2;205.1665;26.6
4;14;175;1;1;.;.;.;1;6.25;1;2;2;205.1665;27.6
4;16;175;.;.;.;.;.;1;6.25;1;2;2;244.6875;27.6
4;16.41527778;.;.;.;24;1;.;1;6.25;1;2;2;244.6875;27.6
42;3;175;.;.;.;.;.;1;6.25;1;2;2;250.3125;27.8
42;4;162.5;2;1;.;.;.;1;6.25;1;2;2;352.352;26.1
42;7;162.5;1;1;.;.;.;1;6.25;1;2;2;427.734;26.1
42;9;168.75;1;1;.;.;.;1;6.25;1;2;2;550.4265;27
42;10.99722222;.;.;.;0.488;1;1;1;6.25;1;2;2;550.4265;24.7
42;11;156.25;2;1;.;.;.;1;6.25;1;2;2;700.0875;24.7
42;14;162.5;1;1;.;.;.;1;6.25;1;2;2;972;26.2
42;15.99513889;.;.;.;2.83;1;.;1;6.25;1;2;2;972;26.2
42;16;162.5;.;.;.;.;.;1;6.25;1;2;2;1000.8;26.2
75;3;150;.;.;.;.;.;1;6.25;1;2;2;233.046;24.1
75;4;150;2;1;.;.;.;1;6.25;1;2;2;317.583;23.5
75;7;150;1;1;.;.;.;1;6.25;1;2;2;579.15;23.6
75;9;156.25;1;1;.;.;.;1;6.25;1;2;2;645.2875;24.6
75;10.02222222;.;.;.;53.5;1;.;1;6.25;1;2;2;645.2875;24.6
75;11;150;2;1;.;.;.;1;6.25;1;2;2;795.675;23.6
75;14;150;1;1;.;.;.;1;6.25;1;2;2;832.8065;24
75;16;150;.;.;.;.;.;1;6.25;1;2;2;904.498;24.2
75;16.10069444;.;.;.;81.8;1;.;1;6.25;1;2;2;904.498;24.2
99;3;137.5;.;.;.;.;.;1;6.25;1;2;2;166.464;21.5
99;4;131.25;2;1;.;.;.;1;6.25;1;2;2;239.0625;21.1
99;7;137.5;1;1;.;.;.;1;6.25;1;2;2;380.208;22
99;9;143.75;1;1;.;.;.;1;6.25;1;2;2;414.05;23
99;9.996527778;.;.;.;0.488;1;1;1;6.25;1;2;2;414.05;23
99;11;137.5;2;1;.;.;.;1;6.25;1;2;2;494.9505;22.2
99;14;143.75;1;1;.;.;.;1;6.25;1;2;2;529.254;22.9
99;16;150;.;.;.;.;.;1;6.25;1;2;2;540;23.7
99;16.99444444;.;.;.;0.488;1;1;1;6.25;1;2;2;540;23.7
125;3;187.5;.;.;.;.;.;1;6.25;1;2;2;175.3375;29.6
125;4;187.5;2;1;.;.;.;1;6.25;1;2;2;275.2;29.8
125;7;187.5;1;1;.;.;.;1;6.25;1;2;2;360.096;30.1
125;9;200;1;1;.;.;.;1;6.25;1;2;2;393.3475;31.5
125;10.40972222;.;.;.;8.03;1;.;1;6.25;1;2;2;393.3475;31.5
125;11;193.75;2;1;.;.;.;1;6.25;1;2;2;611.8875;30.5
125;14;200;1;1;.;.;.;1;6.25;1;2;2;672.525;31.8
125;16;187.5;.;.;.;.;.;1;6.25;1;2;2;738.675;30.4
125;16.21458333;.;.;.;35;1;.;1;6.25;1;2;2;738.675;30.4
138;3;193.75;.;.;.;.;.;1;6.25;1;2;2;87.808;31.3
138;4;168.75;2;1;.;.;.;1;6.25;1;2;2;143.36;26.9
138;7;168.75;1;1;.;.;.;1;6.25;1;2;2;191.808;26.8
138;9;175;1;1;.;.;.;1;6.25;1;2;2;196.992;27.5
138;10.04027778;.;.;.;97.5;1;.;1;6.25;1;2;2;196.992;27.5
138;11;162.5;2;1;.;.;.;1;6.25;1;2;2;196.992;26.3
138;14;175;1;1;.;.;.;1;6.25;1;2;2;216.5625;27.5
138;16;168.75;.;.;.;.;.;1;6.25;1;2;2;227.8125;26.9
138;16.02152778;.;.;.;27.9;1;.;1;6.25;1;2;2;227.8125;26.9
156;3;187.5;.;.;.;.;.;1;6.25;1;2;2;167.706;30.1
156;4;181.25;2;1;.;.;.;1;6.25;1;2;2;172.062;29.4
156;7;187.5;1;1;.;.;.;1;6.25;1;2;2;188.538;30.2
156;9;187.5;1;1;.;.;.;1;6.25;1;2;2;211.722;30.4
156;10.01041667;.;.;.;78;1;.;1;6.25;1;2;2;211.722;30.4
156;11;181.25;2;1;.;.;.;1;6.25;1;2;2;271.4835;29.1
156;14;181.25;1;1;.;.;.;1;6.25;1;2;2;290.2065;29.2
156;16;181.25;.;.;.;.;.;1;6.25;1;2;2;403.971;29.3
156;16.00972222;.;.;.;45.4;1;.;1;6.25;1;2;2;403.971;29.3
165;3;150;.;.;.;.;.;1;6.25;1;2;2;99.144;23.8
165;4;150;2;1;.;.;.;1;6.25;1;2;2;205.35;24.3
165;7;150;1;1;.;.;.;1;6.25;1;2;2;254.144;24
165;9;156.25;1;1;.;.;.;1;6.25;1;2;2;284.592;24.6
165;10.10347222;.;.;.;142;1;.;1;6.25;1;2;2;284.592;24.6
165;11;143.75;2;1;.;.;.;1;6.25;1;2;2;340.704;23.2
165;14;156.25;1;1;.;.;.;1;6.25;1;2;2;404.6;24.6
165;16;150;.;.;.;.;.;1;6.25;1;2;2;437.536;24.4
165;16.04097222;.;.;.;37.4;1;.;1;6.25;1;2;2;437.536;24.4
